DNS Performance Testing Tool
Version 2.14.0

[Status] Command line: dnsperf -s 10.2.0.2 -d /var/lib/mq-cake/dns/queries.txt -c 20 -l 10 -v -S 1 -W
[Status] Sending queries (to 10.2.0.2:53)
[Status] Started at: Wed Feb 18 11:13:34 2026
[Status] Stopping after 10.000000 seconds
> NOERROR host0001.test.local A 0.056684
> NOERROR host0009.test.local A 0.053960
> NOERROR host0012.test.local A 0.054729
> NOERROR host0005.test.local A 0.060433
> NOERROR host0004.test.local A 0.060755
> NOERROR host0007.test.local A 0.059992
> NOERROR host0002.test.local A 0.062926
> NOERROR host0016.test.local A 0.055804
> NOERROR host0011.test.local A 0.059810
> NOERROR host0010.test.local A 0.059967
> NOERROR host0019.test.local A 0.057370
> NOERROR host0022.test.local A 0.055373
> NOERROR host0008.test.local A 0.063400
> NOERROR host0027.test.local A 0.053671
> NOERROR host0003.test.local A 0.067520
> NOERROR host0013.test.local A 0.062717
> NOERROR host0015.test.local A 0.061635
> NOERROR host0017.test.local A 0.060554
> NOERROR host0020.test.local A 0.058562
> NOERROR host0023.test.local A 0.058412
> NOERROR host0028.test.local A 0.055303
> NOERROR host0014.test.local A 0.063739
> NOERROR host0018.test.local A 0.062286
> NOERROR host0024.test.local A 0.059775
> NOERROR host0029.test.local A 0.058378
> NOERROR host0021.test.local A 0.063350
> NOERROR host0025.test.local A 0.062082
> NOERROR host0026.test.local A 0.061009
> NOERROR host0034.test.local A 0.056852
> NOERROR host0006.test.local A 0.072164
> NOERROR host0037.test.local A 0.056235
> NOERROR host0033.test.local A 0.058708
> NOERROR host0046.test.local A 0.051738
> NOERROR host0035.test.local A 0.058840
> NOERROR host0039.test.local A 0.056676
> NOERROR host0036.test.local A 0.058397
> NOERROR host0031.test.local A 0.063546
> NOERROR host0032.test.local A 0.063800
> NOERROR host0044.test.local A 0.057999
> NOERROR host0045.test.local A 0.058635
> NOERROR host0030.test.local A 0.068346
> NOERROR host0038.test.local A 0.064482
> NOERROR host0047.test.local A 0.060458
> NOERROR host0043.test.local A 0.063095
> NOERROR host0041.test.local A 0.064486
> NOERROR host0040.test.local A 0.065115
> NOERROR host0052.test.local A 0.058766
> NOERROR host0042.test.local A 0.064639
> NOERROR host0049.test.local A 0.061375
> NOERROR host0051.test.local A 0.060292
> NOERROR host0050.test.local A 0.060626
> NOERROR host0057.test.local A 0.057806
> NOERROR host0058.test.local A 0.058187
> NOERROR host0053.test.local A 0.063590
> NOERROR host0056.test.local A 0.061581
> NOERROR host0059.test.local A 0.060645
> NOERROR host0062.test.local A 0.058845
> NOERROR host0054.test.local A 0.063184
> NOERROR host0063.test.local A 0.059012
> NOERROR host0055.test.local A 0.063776
> NOERROR host0060.test.local A 0.060854
> NOERROR host0066.test.local A 0.058359
> NOERROR host0061.test.local A 0.062485
> NOERROR host0065.test.local A 0.060642
> NOERROR host0048.test.local A 0.070901
> NOERROR host0067.test.local A 0.061665
> NOERROR host0071.test.local A 0.060466
> NOERROR host0064.test.local A 0.063973
> NOERROR host0070.test.local A 0.061315
> NOERROR host0079.test.local A 0.057162
> NOERROR host0068.test.local A 0.063432
> NOERROR host0072.test.local A 0.062106
> NOERROR host0077.test.local A 0.061250
> NOERROR host0076.test.local A 0.061535
> NOERROR host0080.test.local A 0.060065
> NOERROR host0088.test.local A 0.055821
> NOERROR host0069.test.local A 0.066626
> NOERROR host0078.test.local A 0.061290
> NOERROR host0074.test.local A 0.063589
> NOERROR host0081.test.local A 0.061284
> NOERROR host0084.test.local A 0.059920
> NOERROR host0073.test.local A 0.066462
> NOERROR host0075.test.local A 0.066001
> NOERROR host0090.test.local A 0.057674
> NOERROR host0083.test.local A 0.062732
> NOERROR host0087.test.local A 0.060898
> NOERROR host0098.test.local A 0.055453
> NOERROR host0085.test.local A 0.063546
> NOERROR host0091.test.local A 0.060519
> NOERROR host0094.test.local A 0.058553
> NOERROR host0082.test.local A 0.065445
> NOERROR host0095.test.local A 0.060960
> NOERROR host0097.test.local A 0.059900
> NOERROR host0089.test.local A 0.064614
> NOERROR host0086.test.local A 0.068248
> NOERROR host0100.test.local A 0.061531
> NOERROR host0102.test.local A 0.057857
> NOERROR host0105.test.local A 0.053273
> NOERROR host0104.test.local A 0.053431
> NOERROR host0099.test.local A 0.063739
> NOERROR host0092.test.local A 0.067726
> NOERROR host0093.test.local A 0.068178
> NOERROR host0096.test.local A 0.067832
> NOERROR host0106.test.local A 0.056767
> NOERROR host0101.test.local A 0.061989
> NOERROR host0103.test.local A 0.059400
> NOERROR host0107.test.local A 0.056783
> NOERROR host0115.test.local A 0.052122
> NOERROR host0118.test.local A 0.054573
> NOERROR host0111.test.local A 0.057608
> NOERROR host0112.test.local A 0.059411
> NOERROR host0114.test.local A 0.058948
> NOERROR host0117.test.local A 0.057464
> NOERROR host0119.test.local A 0.058178
> NOERROR host0108.test.local A 0.063842
> NOERROR host0124.test.local A 0.055851
> NOERROR host0109.test.local A 0.064004
> NOERROR host0110.test.local A 0.064174
> NOERROR host0134.test.local A 0.052292
> NOERROR host0121.test.local A 0.059632
> NOERROR host0122.test.local A 0.058217
> NOERROR host0116.test.local A 0.061028
> NOERROR host0120.test.local A 0.060105
> NOERROR host0113.test.local A 0.063844
> NOERROR host0131.test.local A 0.056970
> NOERROR host0135.test.local A 0.055731
> NOERROR host0123.test.local A 0.061271
> NOERROR host0133.test.local A 0.058841
> NOERROR host0130.test.local A 0.060545
> NOERROR host0126.test.local A 0.061899
> NOERROR host0145.test.local A 0.051359
> NOERROR host0132.test.local A 0.062406
> NOERROR host0127.test.local A 0.064147
> NOERROR host0128.test.local A 0.064439
> NOERROR host0125.test.local A 0.066980
> NOERROR host0141.test.local A 0.055795
> NOERROR host0144.test.local A 0.056484
> NOERROR host0140.test.local A 0.060159
> NOERROR host0147.test.local A 0.055573
> NOERROR host0149.test.local A 0.056662
> NOERROR host0139.test.local A 0.061873
> NOERROR host0143.test.local A 0.059147
