10.2.0.2 : [0], 64 bytes, 56.7 ms (56.7 avg, 0% loss)
10.2.0.2 : [1], 64 bytes, 66.9 ms (61.8 avg, 0% loss)
10.2.0.2 : [2], 64 bytes, 65.1 ms (62.9 avg, 0% loss)
10.2.0.2 : [3], 64 bytes, 68.1 ms (64.2 avg, 0% loss)
10.2.0.2 : [4], 64 bytes, 58.6 ms (63.1 avg, 0% loss)
10.2.0.2 : [5], 64 bytes, 60.1 ms (62.6 avg, 0% loss)
10.2.0.2 : [6], 64 bytes, 70.9 ms (63.8 avg, 0% loss)
10.2.0.2 : [7], 64 bytes, 64.8 ms (63.9 avg, 0% loss)
10.2.0.2 : [8], 64 bytes, 69.7 ms (64.6 avg, 0% loss)
10.2.0.2 : [9], 64 bytes, 59.6 ms (64.1 avg, 0% loss)
10.2.0.2 : [10], 64 bytes, 58.2 ms (63.5 avg, 0% loss)
10.2.0.2 : [11], 64 bytes, 60.8 ms (63.3 avg, 0% loss)
10.2.0.2 : [12], 64 bytes, 61.4 ms (63.1 avg, 0% loss)
10.2.0.2 : [13], 64 bytes, 66.0 ms (63.4 avg, 0% loss)
10.2.0.2 : [14], 64 bytes, 64.8 ms (63.5 avg, 0% loss)
10.2.0.2 : [15], 64 bytes, 60.4 ms (63.3 avg, 0% loss)
10.2.0.2 : [16], 64 bytes, 65.3 ms (63.4 avg, 0% loss)
10.2.0.2 : [17], 64 bytes, 59.4 ms (63.2 avg, 0% loss)
10.2.0.2 : [18], 64 bytes, 62.6 ms (63.1 avg, 0% loss)
10.2.0.2 : [19], 64 bytes, 62.8 ms (63.1 avg, 0% loss)

10.2.0.2 : xmt/rcv/%loss = 20/20/0%, min/avg/max = 56.7/63.1/70.9
