10.2.0.2 : [0], timed out (NaN avg, 100% loss)
10.2.0.2 : [1], timed out (NaN avg, 100% loss)
10.2.0.2 : [2], timed out (NaN avg, 100% loss)
10.2.0.2 : [3], timed out (NaN avg, 100% loss)
10.2.0.2 : [4], timed out (NaN avg, 100% loss)
10.2.0.2 : [5], timed out (NaN avg, 100% loss)
10.2.0.2 : [6], timed out (NaN avg, 100% loss)
10.2.0.2 : [7], timed out (NaN avg, 100% loss)
10.2.0.2 : [8], timed out (NaN avg, 100% loss)
10.2.0.2 : [9], timed out (NaN avg, 100% loss)
10.2.0.2 : [10], timed out (NaN avg, 100% loss)
10.2.0.2 : [11], timed out (NaN avg, 100% loss)
10.2.0.2 : [12], timed out (NaN avg, 100% loss)
10.2.0.2 : [13], timed out (NaN avg, 100% loss)
10.2.0.2 : [14], timed out (NaN avg, 100% loss)
10.2.0.2 : [15], timed out (NaN avg, 100% loss)
10.2.0.2 : [16], timed out (NaN avg, 100% loss)
10.2.0.2 : [17], timed out (NaN avg, 100% loss)
10.2.0.2 : [18], timed out (NaN avg, 100% loss)
10.2.0.2 : [19], timed out (NaN avg, 100% loss)

10.2.0.2 : xmt/rcv/%loss = 20/0/100%
